variant,flip_type,id,text,y_true,baseline_pred,variant_pred
strip_urls,fixed_fp,174,Aftershock: Protect Yourself and Profit in the Next Global Financial Meltdown by David Wiedemer http http://t.co/WZTz4hgMVq,0,1,0
strip_urls,fixed_fp,386,Please sign &amp; RT to save #SaltRiverWildHorses http://t.co/IKUAYUSEqt http://t.co/BQBHUyfmE9,0,1,0
strip_urls,fixed_fp,512,Vote for #Directioners vs #Queens in the 5th round of the @Billboard #FanArmyFaceOff http://t.co/Kgtxnnbj7y,0,1,0
strip_urls,fixed_fp,971,The mixtape is coming i promise. We goin in right now http://t.co/uUNGRqoUgn,0,1,0
strip_urls,fixed_fp,1888,Kanger coils - burning out fast? via /r/Vaping101 http://t.co/cykr4XAlUH,0,1,0
strip_urls,fixed_fn,105,BigRigRadio Live Accident Awareness,1,0,1
strip_urls,fixed_fn,1921,Killing Black Babies at Planned Parenthood where's the demonstrations looting of PP burning down the buildings Black Babies Lives Matter,1,0,1
strip_urls,fixed_fn,2575,Crash and burn ?? https://t.co/Jq2iB1Ob1X,1,0,1
strip_urls,fixed_fn,3026,@Allahsfinest12 ...death to muslims,1,0,1
strip_urls,fixed_fn,5458,As firefighters make gains on #RockyFire Jerry Brown is heading to the area to meet with first responders tomorrow morning,1,0,1
strip_urls,new_fp,110,'By accident' they knew what was gon happen https://t.co/Ysxun5vCeh,0,0,1
strip_urls,new_fp,3567,If the Taken movies took place in India 2 (Vine by @JusReign) https://t.co/hxM8C8e33D,0,0,1
strip_urls,new_fp,4012,beautiful disaster https://t.co/qm5Sz0fyU8,0,0,1
strip_urls,new_fp,6542,@NEPD_Loyko Texans hope you are wrong. Radio in Houston have him as starter after Foster injury,0,0,1
strip_urls,new_fp,7753,Police unions retard justice &amp; drain gov $ but cops vote 4 Rs so Rs go after teachers unions instead! @DCCC @VJ44 @Lawrence @JBouie @mmfa,0,0,1
strip_urls,new_fn,237,"#OMG! I don't believe this. #RIP bro
#AirPlane #Accident #JetEngine #TurboJet #Boing #G90 http://t.co/KXxnSZp6nk",1,1,0
strip_urls,new_fn,2103,Small casualty on the way to Colorado http://t.co/hDVmhSQXHm,1,1,0
strip_urls,new_fn,2193,Learning from the Legacy of a Catastrophic Eruption - The New Yorker http://t.co/t344PhNpy9,1,1,0
strip_urls,new_fn,2198,Learning from the Legacy of a Catastrophic Eruption - The New Yorker http://t.co/vMWTOUyOHm,1,1,0
strip_urls,new_fn,2364,Roof collapsed a bowling alley many in the community remember going to for more than 30 years @KEZI9 http://t.co/sAhbhLXsSh,1,1,0
strip_mentions,fixed_fn,840,FedEx to stop transporting bioterror germs after lab mishaps: FedEx has stopped transporting certain research ... http://t.co/y3dM9uLqxG,1,0,1
strip_mentions,new_fp,3241,@accionempresa The U.S. Department of Commerce has been deluged the last two months with com... http://t.co/V1SFlLOWGh @gerenciatodos å¨,0,0,1
strip_mentions,new_fp,9551,The few I warned about .. Were just as I expected.. They are a threat to his soul,0,0,1
strip_mentions,new_fn,2352,The @POTUS economy continues to collapse.,1,1,0
